DATAFLOW,LAST UPDATE,freq,sex,age,unit,isced11,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,ES,2018,44.3,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,ES,2019,46.5,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,ES,2020,47.4,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,ES,2021,48.7,b
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,FI,2011,39.4,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,FI,2012,39.7,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,FI,2013,40.0,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,FI,2014,40.3,b
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,FI,2015,40.2,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,FI,2016,40.7,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,FI,2017,40.3,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,FI,2018,40.3,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,FI,2019,42.0,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,FI,2020,43.8,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,FI,2021,40.1,b
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,FR,2011,42.8,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,FR,2012,42.6,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,FR,2013,43.9,b
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,FR,2014,44.3,b
